season_id,team_name,team_id,player_name,player_id,game_type,GS,GP,PG_Min,SG_Min,SF_Min,PF_Min,C_Min,Min,OEPM,DEPM,EPM,PLUS,Poss,player_PLUS_per_Poss,team_Poss,team_PLUS,team_PLUS_per_Poss,RAPM,pRAPM,RAPM_abs_diff
2050,William & Mary,184,Jeremy Mason,219950,College,45,45,0.0,0.0,29.11,0.0,0.0,29.11,3.3,3.5,6.7,8.689,54.307,0.16,75.059,12.0004,0.1598,3.8,3.6,0.2
2050,William & Mary,184,Charles Hale,230616,College,29,46,0.0,0.0,0.0,15.132,6.174,21.304,-1.0,-1.1,-2.1,4.695,39.606,0.119,75.059,12.0004,0.1598,-1.3,1.7,3.0
2050,William & Mary,184,Christopher Lawton,228009,College,46,46,0.0,0.0,0.0,0.0,29.086,29.086,2.5,1.2,3.8,10.303,54.484,0.189,75.059,12.0004,0.1598,7.7,4.5,3.2
2050,William & Mary,184,Robert Burt,229931,College,45,45,0.0,30.201,0.0,0.0,0.0,30.201,4.1,5.0,9.1,10.733,56.372,0.19,75.059,12.0004,0.1598,6.1,4.8,1.3
2050,William & Mary,184,Marc Sanbord,220174,College,46,46,24.302,0.0,0.0,0.0,0.0,24.302,5.2,3.0,8.2,7.958,45.359,0.175,75.059,12.0004,0.1598,5.3,4.2,1.1
2050,William & Mary,184,Marco Rincon,237442,College,0,46,15.761,6.978,0.0,0.0,0.0,22.804,1.3,-1.8,-0.5,5.283,42.553,0.124,75.059,12.0004,0.1598,0.9,2.0,1.1
2050,William & Mary,184,Gregory Kingman,234803,College,16,43,0.0,0.0,0.0,15.697,3.162,18.858,0.4,-2.9,-2.5,6.931,35.518,0.195,75.059,12.0004,0.1598,5.7,4.4,1.3
2050,William & Mary,184,Grayson Parsons,233780,College,1,44,0.0,2.659,11.522,0.0,0.0,14.159,0.3,-1.8,-1.5,4.705,26.429,0.178,75.059,12.0004,0.1598,4.1,3.8,0.3
2050,William & Mary,184,Gonzalo Velasquez,233134,College,1,44,0.0,0.0,0.0,9.636,1.998,11.635,-1.7,1.0,-0.7,2.84,21.469,0.132,75.059,12.0004,0.1598,2.4,2.2,0.2
2050,South Dakota State,266,Rico Cotton,227507,College,41,41,0.0,0.0,16.854,17.609,0.0,34.488,0.7,0.8,1.5,1.583,64.929,0.024,75.495,1.3574,0.018,1.0,1.3,0.3
